,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,is_drift,batch_id
0,0,14.999902,4,7,2789.261637,0,1,3,1,0,1,2,23.967582,1,0,0,2,1.0,0,1,0,22
1,0,12.116894,3,3,1487.622076,0,3,0,1,0,1,2,23.523359,1,1,0,2,1.0,1,1,0,22
2,1,23.66399,4,4,9287.261034,0,4,0,2,0,1,3,38.988204,1,2,1,2,1.0,0,1,0,22
3,0,25.065933,2,3,1409.560432,0,2,3,1,0,2,0,32.898741,1,1,0,1,1.0,0,1,0,22
4,0,11.996003,2,1,858.849618,0,2,3,2,0,3,0,31.411723,0,1,1,3,2.0,1,1,0,22
5,1,24.01597,2,5,1799.855065,0,2,1,1,0,2,0,21.330446,1,1,0,2,1.0,0,1,0,22
6,3,12.195184,2,4,469.291145,2,3,3,3,0,2,0,24.806428,1,1,0,1,1.0,1,1,0,22
7,3,9.540351,4,4,2360.622401,0,2,2,2,0,1,2,23.081317,1,0,1,2,1.0,0,1,0,22
8,3,34.816266,2,3,3708.326789,2,1,3,2,0,0,2,29.206819,1,1,0,1,1.0,0,1,0,22
9,3,24.491733,2,0,2381.520883,1,4,1,1,0,2,1,28.282046,0,1,0,1,1.0,0,1,0,22
10,3,23.693386,2,0,3991.298409,0,4,1,2,0,3,1,27.820572,1,1,0,3,2.0,1,1,0,22
11,3,25.045565,4,1,2160.780099,0,0,3,2,0,3,1,58.748969,1,0,1,3,2.0,1,1,0,22
12,0,22.662465,2,4,6169.465997,0,4,2,3,0,3,2,33.29437,1,1,0,1,1.0,0,1,0,22
13,0,15.861863,2,0,5044.876401,0,0,0,2,0,0,2,56.812786,1,0,1,2,1.0,0,1,0,22
14,3,6.636365,4,9,953.391528,1,2,3,2,0,1,2,35.46439,1,1,0,2,1.0,0,1,0,22
15,1,18.862139,2,4,3188.456663,0,2,1,3,0,1,2,29.296961,1,1,0,1,1.0,0,1,0,22
16,3,18.499009,2,0,1486.877137,1,1,3,1,0,2,1,22.255299,1,0,0,1,1.0,0,1,0,22
17,1,24.298161,2,1,2595.663112,0,2,1,2,0,3,2,38.365971,1,1,1,1,2.0,0,1,0,22
18,3,12.025327,2,3,2691.340487,3,3,3,1,0,2,3,28.811352,0,1,0,2,1.0,0,1,0,22
19,1,19.456393,2,4,11130.616931,0,2,3,2,2,3,2,26.236693,0,1,0,3,1.0,1,1,0,22
20,1,16.023213,2,1,11265.290629,1,2,0,2,0,3,1,28.42063,1,1,0,2,2.0,1,1,0,22
21,1,33.934686,2,1,8412.48236,0,2,2,2,0,1,2,24.354789,1,1,0,2,1.0,0,1,0,22
22,3,23.593538,2,0,1340.804617,2,2,3,1,0,2,0,29.193388,1,1,0,2,1.0,0,1,0,22
23,1,4.782313,2,0,938.211556,0,3,1,1,0,2,0,39.874825,1,0,0,1,1.0,0,1,0,22
24,0,30.701322,2,4,15508.205102,0,2,0,1,0,2,2,22.008483,1,1,0,2,2.0,1,1,0,22
25,3,9.032936,2,4,2127.075674,4,2,1,0,0,1,3,37.663983,1,2,0,2,1.0,0,1,0,22
